iata,name,city
OBL,Oostmalle Air Base,Zoersel
AOC,Altenburg-Nobitz Airport,Altenburg
HDF,Heringsdorf Airport,Heringsdorf
ZHZ,Halle-Oppin Airport,Oppin
IES,Riesa-Gohlis Airport,Riesa
REB,Rechlin-Larz Airport,Larz
CSO,Cochstedt Airport,Magdeburg
CBU,Cottbus-Drewitz Airport,Cottbus
GTI,Rugen Airport,Rugen
KOQ,Kothen Airport,Kothen
PEF,Peenemunde Airport,Peenemunde
BER,Berlin Brandenburg Airport,Berlin
DRS,Dresden Airport,Dresden
ERF,Erfurt Airport,Erfurt
FRA,Frankfurt am Main International Airport,Frankfurt am Main
FMO,Munster Osnabruck Airport,Munster
HAM,Hamburg Airport,Hamburg
CGN,Cologne Bonn Airport,Cologne
DUS,Dusseldorf International Airport,Dusseldorf
MUC,Munich International Airport,Munich
NUE,Nuremberg Airport,Nuremberg
LEJ,Leipzig Halle Airport,Leipzig
SCN,Saarbrucken Airport,Saarbrucken
STR,Stuttgart Airport,Stuttgart
TXL,Berlin-Tegel International Airport,Berlin
HAJ,Hannover Airport,Hannover
BRE,Bremen Airport,Bremen
HHN,Frankfurt-Hahn Airport,Hahn
MHG,Mannheim-City Airport,Mannheim
EIB,Eisenach-Kindel Airport,Eisenach
XFW,Hamburg-Finkenwerder Airport,Hamburg
KEL,Kiel-Holtenau Airport,Kiel
LBC,Lubeck Blankensee Airport,Lubeck
EUM,Neumunster Airport,Neumunster
FMM,Memmingen Allgau Airport,Memmingen
AAH,Aachen-Merzbruck Airport,Aachen
BNJ,Bonn-Hangelar Airport,Bonn
BFE,Bielefeld Airport,Bielefeld
MGL,Monchengladbach Airport,Monchengladbach
PAD,Paderborn Lippstadt Airport,Paderborn
NRN,Niederrhein Airport,Weeze
DTM,Dortmund Airport,Dortmund
AGB,Augsburg Airport,Augsburg
RBM,Straubing Airport,Straubing
FDH,Friedrichshafen Airport,Friedrichshafen
BYU,Bayreuth Airport,Bayreuth
URD,Burg Feuerstein Airport,Ebermannstadt
HOQ,Hof-Plauen Airport,Hof
BBJ,Bitburg Airport,Bitburg
ZQW,Zweibrucken Airport,Zweibrucken
FKB,Karlsruhe Baden-Baden Airport,Baden-Baden
KSF,Kassel-Calden Airport,Kassel
BRV,Bremerhaven Airport,Bremerhaven
XLW,Lemwerder Airport,Lemwerder
EME,Emden Airport,Emden
AGE,Wangerooge Airport,Wangerooge
WVN,Wilhelmshaven-Mariensiel Airport,Wilhelmshaven
JUI,Juist Airport,Juist
LGO,Langeoog Airport,Langeoog
BMK,Borkum Airport,Borkum
NOD,Norden-Norddeich Airport,Norddeich
VAC,Varrelbusch Airport,Cloppenburg
NRD,Norderney Airport,Norderney
BMR,Baltrum Airport,Baltrum
HEI,Heide-Busum Airport,Busum
FLF,Flensburg-Schäferhaus Airport,Flensburg
HGL,Helgoland-Dune Airport,Helgoland
QHU,Husum-Schwesing Airport,Husum
PSH,St. Peter-Ording Airport,Sankt Peter-Ording
GWT,Westerland Sylt Airport,Westerland
OHR,Wyk auf Fohr Airport,Wyk auf Fohr
KDL,Kardla Airport,Kardla
URE,Kuressaare Airport,Kuressaare
EPU,Parnu Airport,Parnu
TLL,Tallinn Airport,Tallinn
TAY,Tartu Airport,Tartu
ENF,Enontekio Airport,Enontekio
KEV,Halli Airport,Halli / Kuorevesi
HEM,Helsinki Malmi Airport,Helsinki
HEL,Helsinki Vantaa Airport,Helsinki
IVL,Ivalo Airport,Ivalo
JOE,Joensuu Airport,Joensuu / Liperi
JYV,Jyvaskyla Airport,Jyvaskylan Maalaiskunta
KAU,Kauhava Airport,Kauhava
KEM,Kemi-Tornio Airport,Kemi / Tornio
KAJ,Kajaani Airport,Kajaani
KOK,Kruunupyy Airport,Kokkola / Kruunupyy
KAO,Kuusamo Airport,Kuusamo
KTT,Kittila Airport,Kittila
KUO,Kuopio Airport,Kuopio / Siilinjarvi
LPP,Lappeenranta Airport,Lappeenranta
MIK,Mikkeli Airport,Mikkeli
OUL,Oulu Airport,Oulu / Oulunsalo
POR,Pori Airport,Pori
RVN,Rovaniemi Airport,Rovaniemi
SVL,Savonlinna Airport,Savonlinna
SJY,Seinajoki Airport,Seinajoki / Ilmajoki
SOT,Sodankyla Airport,Sodankyla
TMP,Tampere-Pirkkala Airport,Tampere / Pirkkala
TKU,Turku Airport,Turku
UTI,Utti Air Base,Utti / Valkeala
VAA,Vaasa Airport,Vaasa
VRK,Varkaus Airport,Varkaus / Joroinen
LHB,Bruntingthorpe Airport,Bruntingthorpe
BFS,Belfast International Airport,Belfast
ENK,St Angelo Airport,Enniskillen
BHD,George Best Belfast City Airport,Belfast
LDY,City of Derry Airport,Derry
BHX,Birmingham International Airport,Birmingham
CVT,Coventry Airport,Coventry
GLO,Gloucestershire Airport,Staverton
ORM,Sywell Aerodrome,Northampton
NQT,Nottingham Airport,Nottingham
GBA,Kemble Airport,Kemble
MAN,Manchester Airport,Manchester
WFD,Manchester Woodford Airport,Manchester
DSA,Robin Hood Doncaster Sheffield Airport,Doncaster
UPV,Upavon Aerodrome,Upavon
LYE,RAF Lyneham,Lyneham
YEO,RNAS Yeovilton,Yeovil
CAL,Campbeltown Airport,Campbeltown
EOI,Eday Airport,Eday
FIE,Fair Isle Airport,Fair Isle
WHS,Whalsay Airport,Whalsay
COL,Coll Airport,Coll Island
NRL,North Ronaldsay Airport,North Ronaldsay
OBN,Oban Airport,North Connel
PPW,Papa Westray Airport,Papa Westray
SOY,Stronsay Airport,Stronsay
NDY,Sanday Airport,Sanday
LWK,Lerwick / Tingwall Airport,Lerwick
WRY,Westray Airport,Westray
CSA,Colonsay Airstrip,Colonsay
HAW,Haverfordwest Airport,Haverfordwest
CWL,Cardiff International Airport,Cardiff
SWS,Swansea Airport,Swansea
BRS,Bristol International Airport,Bristol
LPL,Liverpool John Lennon Airport,Liverpool
LTN,London Luton Airport,London
LEQ,Land's End Airport,Land's End
PLH,Plymouth City Airport,Plymouth
ISC,St. Mary's Airport,St. Mary's
BOH,Bournemouth Airport,Bournemouth
SOU,Southampton Airport,Southampton
BBP,Bembridge Airport,Bembridge
NQY,Newquay Cornwall Airport,Newquay
QUG,Chichester/Goodwood Airport,Chichester
ACI,Alderney Airport,Saint Anne
GCI,Guernsey Airport,Saint Peter Port
JER,Jersey Airport,Saint Helier
ESH,Shoreham Airport,Brighton
BQH,London Biggin Hill Airport,London
LGW,London Gatwick Airport,London
LCY,London City Airport,London
FAB,Farnborough Airport,Farnborough
BBS,Blackbushe Airport,Yateley
LHR,London Heathrow Airport,London
SEN,Southend Airport,Southend
LYX,Lydd Airport,Lydd
MSE,Kent International Airport,Manston
CAX,Carlisle Airport,Carlisle
BLK,Blackpool International Airport,Blackpool
HUY,Humberside Airport,Grimsby
BWF,Barrow Walney Island Airport,Barrow-in-Furness
LBA,Leeds Bradford Airport,Leeds
WRT,Warton Airport,Warton
CEG,Hawarden Airport,Hawarden
IOM,Isle of Man Airport,Castletown
NCL,Newcastle Airport,Newcastle
MME,Durham Tees Valley Airport,Durham
EMA,East Midlands Airport,Nottingham
KOI,Kirkwall Airport,Orkney Islands
LSI,Sumburgh Airport,Lerwick
WIC,Wick Airport,Wick
ABZ,Aberdeen Dyce Airport,Aberdeen
INV,Inverness Airport,Inverness
GLA,Glasgow International Airport,Glasgow
EDI,Edinburgh Airport,Edinburgh
ILY,Islay Airport,Port Ellen
PIK,Glasgow Prestwick Airport,Glasgow
BEB,Benbecula Airport,Balivanich
SCS,Scatsta Airport,Shetland Islands
DND,Dundee Airport,Dundee
SYY,Stornoway Airport,Stornoway
BRR,Barra Airport,Eoligarry
PSL,Perth/Scone Airport,Perth
TRE,Tiree Airport,Balemartine
UNT,Unst Airport,Shetland Islands
BOL,Ballykelly Airport,Ballykelly
FSS,RAF Kinloss,Kinloss
ADX,RAF Leuchars,St. Andrews
LMO,RAF Lossiemouth,Lossiemouth
CBG,Cambridge Airport,Cambridge
NWI,Norwich International Airport,Norwich
STN,London Stansted Airport,London
HYC,Wycombe Air Park,High Wycombe
EXT,Exeter International Airport,Exeter
FZO,Bristol Filton Airport,Bristol
OXF,Oxford (Kidlington) Airport,Kidlington
RCS,Rochester Airport,Rochester
BEX,RAF Benson,Benson
LKZ,RAF Lakenheath,Lakenheath
MHZ,RAF Mildenhall,Mildenhall
QUY,RAF Wyton,St. Ives
FFD,RAF Fairford,Fairford
BZZ,RAF Brize Norton,Brize Norton
ODH,RAF Odiham,Odiham
NHT,RAF Northolt,London
QCY,RAF Coningsby,Coningsby
BEQ,RAF Honington,Thetford
OKH,RAF Cottesmore,Cottesmore
SQZ,RAF Scampton,Scampton
HRT,RAF Linton-On-Ouse,Linton-On-Ouse
WTN,RAF Waddington,Waddington
MRH,RAF Marham,Marham
MPN,Mount Pleasant Airport,Mount Pleasant
AMS,Amsterdam Airport Schiphol,Amsterdam
MST,Maastricht Aachen Airport,Maastricht
EIN,Eindhoven Airport,Eindhoven
GRQ,Eelde Airport,Groningen
GLZ,Gilze Rijen Air Base,Breda
DHR,De Kooy Airport,Den Helder
LEY,Lelystad Airport,Lelystad
LWR,Leeuwarden Air Base,Leeuwarden
RTM,Rotterdam Airport,Rotterdam
ENS,Twenthe Airport,Enschede
UDE,Volkel Air Base,Uden
WOE,Woensdrecht Air Base,Bergen Op Zoom
BYT,Bantry Aerodrome,Bantry
BLY,Belmullet Aerodrome,Belmullet
NNR,Connemara Regional Airport,Inverin
ORK,Cork Airport,Cork
GWY,Galway Airport,Galway
CFN,Donegal Airport,Donegal
DUB,Dublin Airport,Dublin
IOR,Inishmore Aerodrome,Inis Mor
INQ,Inisheer Aerodrome,Inis Oirr
KKY,Kilkenny Airport,Kilkenny
NOC,Ireland West Knock Airport,Charleston
KIR,Kerry Airport,Killarney
LTR,Letterkenny Airport,Letterkenny
IIA,Inishmaan Aerodrome,Inis Meain
SNN,Shannon Airport,Shannon
SXL,Sligo Airport,Sligo
WAT,Waterford Airport,Waterford
AAR,Aarhus Airport,Aarhus
BLL,Billund Airport,Billund
CPH,Copenhagen Kastrup Airport,Copenhagen
EBJ,Esbjerg Airport,Esbjerg
KRP,Karup Airport,Karup
BYR,Laeso Airport,Laeso
MRW,Lolland Falster Maribo Airport,Lolland Falster / Maribo
ODE,Odense Airport,Odense
RKE,Copenhagen Roskilde Airport,Copenhagen
RNN,Bornholm Airport,Ronne
SGD,Sonderborg Airport,Sonderborg
CNL,Sindal Airport,Sindal
SKS,Vojens Skrydstrup Airport,Vojens
SQW,Skive Airport,Skive
TED,Thisted Airport,Thisted
FAE,Vagar Airport,Vagar
STA,Stauning Airport,Skjern / Ringkobing
AAL,Aalborg Airport,Aalborg
LUX,Luxembourg-Findel International Airport,Luxembourg
AES,Ålesund Airport,Ålesund
ANX,Andøya Airport,Andenes
ALF,Alta Airport,Alta
FDE,Bringeland Airport,Førde
BNN,Brønnøysund Airport,Brønnøy
BOO,Bodø Airport,Bodø
BGO,Bergen Airport Flesland,Bergen
BJF,Båtsfjord Airport,Båtsfjord
BVG,Berlevåg Airport,Berlevåg
KRS,Kristiansand Airport,Kjevik
BDU,Bardufoss Airport,Malselv
EVE,Harstad/Narvik Airport Evenes,Evenes
FRO,Florø Airport,Florø
OSL,Oslo Gardermoen Airport,Oslo
HMR,Stafsberg Airport,Hamar
HAU,Haugesund Airport,Karmoy
HFT,Hammerfest Airport,Hammerfest
HAA,Hasvik Airport,Hasvik
HVG,Valan Airport,Honningsvåg
KSU,Kristiansund Airport Kvernberget,Kvernberget
GLL,Gol Airport,Klanten
KKN,Kirkenes Airport Hoybuktmoen,Kirkenes
LKN,Leknes Airport,Leknes
MEH,Mehamn Airport,Mehamn
MOL,Molde Airport,Aro
LKL,Banak Airport,Lakselv
OSY,Namsos Hoknesora Airport,Namsos
OLA,Ørland Airport,Ørland
HOV,Ørsta-Volda Airport Hovden,Ørsta
MQN,Mo i Rana Airport Rossvoll,Mo i Rana
RVK,Rørvik Airport Ryum,Rorvik
RRS,Røros Airport,Roros
RYG,Moss Airport Rygge,Rygge
LYR,Svalbard Airport Longyear,Longyearbyen
SDN,Sandane Airport Anda,Sandane
SOG,Sogndal Airport,Sogndal
SVJ,Svolvær Helle Airport,Svolvær
SKN,Stokmarknes Skagen Airport,Hadsel
SKE,Skien Airport,Geiteryggen
SRP,Stord Airport,Leirvik
SOJ,Sørkjosen Airport,Sørkjosen
VAW,Vardø Airport Svartnes,Vardø
SSJ,Sandnessjoen Airport Stokka,Alstahaug
TOS,Tromsø Airport,Tromsø
TRF,Sandefjord Airport Torp,Torp
TRD,Trondheim Airport Vaernes,Trondheim
VDS,Vadsø Airport,Vadsø
SVG,Stavanger Airport Sola,Stavanger
BXP,Biala Podlaska Airport,Biala Podlaska
BZG,Bydgoszcz Ignacy Jan Paderewski Airport,Bydgoszcz
GDN,Gdańsk Lech Wałęsa Airport,Gdańsk
KRK,John Paul II International Airport Kraków-Balice Airport,Kraków
KTW,Katowice International Airport,Katowice
LUZ,Lublin Airport,Lublin
LCJ,Łódź Władysław Reymont Airport,Łódź
WMI,Warsaw Modlin Airport,Warsaw
POZ,Poznań-Ławica Airport,Poznań
CZW,Częstochowa-Rudniki Airport,Częstochowa
RZE,Rzeszow-Jasionka Airport,Rzeszow
SZZ,Szczecin-Goleniow Solidarność Airport,Goleniow
WAW,Warsaw Chopin Airport,Warsaw
WRO,Copernicus Wrocław Airport,Wrocław
IEG,Zielona Góra-Babimost Airport,Babimost
GOT,Gothenburg-Landvetter Airport,Gothenburg
JKG,Jonkoping Airport,Jonkoping
LDK,Lidkoping-Hovby Airport,Lidkoping
GSE,Gothenburg City Airport,Gothenburg
KVB,Skovde Airport,Skovde
THN,Trollhattan-Vanersborg Airport,Trollhattan
NYO,Stockholm Skavsta Airport,Stockholm / Nykoping
SCR,Sälen/Scandinavian Mountains Airport,Rörbäcksnäs
KID,Kristianstad Airport,Kristianstad
MMX,Malmo Sturup Airport,Malmo
HAD,Halmstad Airport,Halmstad
VXO,Vaxjo Kronoberg Airport,Vaxjo
GEV,Gallivare Airport,Gallivare
KRF,Kramfors Solleftea Airport,Kramfors / Solleftea
SDL,Sundsvall-Harnosand Airport,Sundsvall/ Harnosand
OER,Ornskoldsvik Airport,Ornskoldsvik
SFT,Skelleftea Airport,Skelleftea
UME,Umea Airport,Umea
AJR,Arvidsjaur Airport,Arvidsjaur
SOO,Soderhamn Airport,Soderhamn
OSD,Ostersund Airport,Ostersund
ORB,Orebro Airport,Orebro
KSD,Karlstad Airport,Karlstad
VST,Stockholm Vasteras Airport,Stockholm / Vasteras
LLA,Lulea Airport,Lulea
ARN,Stockholm-Arlanda Airport,Stockholm
BMA,Stockholm-Bromma Airport,Stockholm
GVX,Gavle Sandviken Airport,Gavle / Sandviken
LPI,Linkoping SAAB Airport,Linkoping
NRK,Norrkoping Airport,Norrkoping
EKT,Eskilstuna Airport,Eskilstuna
VBY,Visby Airport,Visby
VVK,Vastervik Airport,Vastervik
AGH,Angelholm-Helsingborg Airport,Angelholm
IDB,Idre Airport,Idre
SPM,Spangdahlem Air Base,Trier
RMS,Ramstein Air Base,Ramstein
FRZ,Fritzlar Airport,Fritzlar
RLG,Rostock-Laage Airport,Rostock
WIE,Wiesbaden Army Airfield,Wiesbaden
FEL,Furstenfeldbruck Airport,Furstenfeldbruck
IGS,Ingolstadt Manching Airport,Manching
GUT,Gutersloh Airport,Gutersloh
DGP,Daugavpils Intrenational Airport,Daugavpils
LPX,Liepaja International Airport,Liepaja
RIX,Riga International Airport,Riga
VNT,Ventspils International Airport,Ventspils
KUN,Kaunas International Airport,Kaunas
PLQ,Palanga International Airport,Palanga
PNV,Panevezys Air Base,Panevezys
SQQ,Siauliai International Airport,Siauliai
HLJ,Barysiai Airport,Barysiai
VNO,Vilnius International Airport,Vilnius
ALJ,Alexander Bay Airport,Alexander Bay
AGZ,Aggeneys Airport,Aggeneys
ADY,Alldays Airport,Alldays
BIY,Bisho Airport,Bisho
BFN,J B M Hertzog International Airport,Bloemfontain
ASS,Arathusa Safari Lodge Airport,Arathusa
CDO,Cradock Airport,Cradock
CPT,Cape Town International Airport,Cape Town
DUK,Mubatuba Airport,Mubatuba
PZL,Zulu Inyala Airport,Phinda
ELS,Ben Schoeman Airport,East London
EMG,Empangeni Airport,Empangeni
ELL,Ellisras Matimba Airport,Ellisras
FCB,Ficksburg Sentraoes Airport,Ficksburg
GCJ,Grand Central Airport,Midrand
GRJ,George Airport,George
GIY,Giyani Airport,Giyani
QRA,Rand Airport,Johannesburg
HLW,Hluhluwe Airport,Hluhluwe
HRS,Harrismith Airport,Harrismith
HDS,Hoedspruit Air Force Base Airport,Hoedspruit
KXE,P C Pelser Airport,Klerksdorp
KIM,Kimberley Airport,Kimberley
MQP,Kruger Mpumalanga International Airport,Mpumalanga
KOF,Komatipoort Airport,Komatipoort
KMH,Johan Pienaar Airport,Kuruman
KLZ,Kleinsee Airport,Kleinsee
HLA,Lanseria Airport,Johannesburg
LMR,Lime Acres Finsch Mine Airport,Lime Acres
LDZ,Londolozi Airport,Londolozi
DUR,King Shaka International Airport,Durban
LCD,Louis Trichardt Airport,Louis Trichardt
SDB,Langebaanweg Airport,Langebaanweg
LAY,Ladysmith Airport,Ladysmith
AAM,Malamala Airport,Malamala
MGH,Margate Airport,Margate
MEZ,Musina(Messina) Airport,Musina
MBD,Mmabatho International Airport,Mafeking
LLE,Riverside Airport,Malelane
MZY,Mossel Bay Airport,Mossel Bay
MZQ,Mkuze Airport,Mkuze
NCS,Newcastle Airport,Newcastle
NGL,Ngala Airport,Ngala
NLP,Nelspruit Airport,Nelspruit
OVG,Overberg Airport,Overberg
OUH,Oudtshoorn Airport,Oudtshoorn
JNB,O. R. Tambo International Airport,Johannesburg
AFD,Port Alfred Airport,Port Alfred
PLZ,Port Elizabeth Airport,Port Elizabeth
PBZ,Plettenberg Bay Airport,Plettenberg Bay
PHW,Hendrik Van Eck Airport,Phalaborwa
JOH,Port St Johns Airport,Port St Johns
PRK,Prieska Airport,Prieska
PZB,Pietermaritzburg Airport,Pietermaritzburg
NTY,Pilanesberg International Airport,Pilanesberg
PTG,Polokwane International Airport,Potgietersrus
PCF,Potchefstroom Airport,Potchefstroom
UTW,Queenstown Airport,Queenstown
RCB,Richards Bay Airport,Richards Bay
RVO,Reivilo Airport,Reivilo
ROD,Robertson Airport,Robertson
SBU,Springbok Airport,Springbok
ZEC,Secunda Airport,Secunda
GSS,Sabi Sabi Airport,Belfast
SIS,Sishen Airport,Sishen
SZK,Skukuza Airport,Skukuza
TDT,Tanda Tula Airport,Welverdiend
THY,Thohoyandou Airport,Thohoyandou
TCU,Thaba Nchu Tar Airport,Homeward
LTA,Tzaneen Airport,Tzaneen
ULD,Prince Mangosuthu Buthelezi Airport,Ulundi
UTN,Pierre Van Ryneveld Airport,Upington
ULX,Ulusaba Airport,Ulusaba
UTT,K. D. Matanzima Airport,Mthatha
VRU,Vryburg Airport,Vyrburg
VIR,Virginia Airport,Durban
VRE,Vredendal Airport,Vredendal
VYD,Vryheid Airport,Vryheid
PRY,Wonderboom Airport,Pretoria
WKF,Waterkloof Air Force Base,Pretoria
WEL,Welkom Airport,Welkom
FRW,Francistown Airport,Francistown
GNZ,Ghanzi Airport,Ghanzi
BBK,Kasane Airport,Kasane
KHW,Khwai River Lodge Airport,Khwai River Lodge
MUB,Maun Airport,Maun
GBE,Sir Seretse Khama International Airport,Gaborone
SVT,Savuti Airport,Savuti
SWX,Shakawe Airport,Shakawe
TLD,Limpopo Valley Airport,Tuli Lodge
TBY,Tshabong Airport,Tshabong
BZV,Maya-Maya Airport,Brazzaville
DJM,Djambala Airport,Djambala
KNJ,Kindamba Airport,Kindamba
LCO,Lague Airport,Lague
MUY,Mouyondzi Airport,Mouyondzi
SIB,Sibiti Airport,Sibiti
NKY,Yokangassi Airport,Nkayi
ANJ,Zanaga Airport,Zanaga
MSX,Mossendjo Airport,Mossendjo
BOE,Boundji Airport,Boundji
EWO,Ewo Airport,Ewo
GMM,Gamboma Airport,Gamboma
ION,Impfondo Airport,Impfondo
KEE,Kelle Airport,Kelle
MKJ,Makoua Airport,Makoua
FTX,Owando Airport,Owando
